,MAIN_SMILES,MAIN_SERIES,REVERSE_SMILES,REVERSE_SERIES,ORIGIN_SMILES,DB_NUM_REQUIRED,RING,RING_TYPE,CLASS_TYPE,OAP,OCP,DB,OH,KETO,OOH,CHO,COOH
PGA,CC1C(=O)/C=C/C1/C=C/C(O),8,CC(O)/C=C/C1C(=O)/C=C/C1,1,C/C=C\C/C=C\C/C=C\,3,1,A,P,1,0,1,1,1,0,0,0
PGB,C/C1=C(CCC1(=O))C=C/C(O),8,CC(O)/C=CC1=C(CCC1(=O))/,1,C/C=C\C/C=C\C/C=C\,3,1,B,P,1,0,1,1,1,0,0,0
PGC,CC1C(=O)C/C=C1C=C/C(O),8,CC(O)/C=C/C1C(=O)C/C=C1/,1,C/C=C\C/C=C\C/C=C\,3,1,C,P,1,0,1,1,1,0,0,0
PGD,CC1C(O)CC(=O)C1/C=C/C(O),8,CC(O)/C=C/C1C(O)CC(=O)C1,1,C/C=C\C/C=C\C/C=C\,3,1,D,P,1,0,1,2,1,0,0,0
PGE,CC1C(=O)CC(O)C1/C=C/C(O),8,CC(O)/C=C/C1C(=O)CC(O)C1,1,C/C=C\C/C=C\C/C=C\,3,1,E,P,1,0,1,2,1,0,0,0
PGF,CC1C(O)CC(O)C1/C=C/C(O),8,CC(O)/C=C/C1C(O)CC(O)C1,1,C/C=C\C/C=C\C/C=C\,3,1,F,P,1,0,1,3,0,0,0,0
PGG,CC1C2CC(OO2)C1/C=C/C(OO),8,CC(OO)/C=C/C1C2CC(OO2)C1,1,C/C=C\C/C=C\C/C=C\,3,2,G,P,1,0,1,0,0,1,0,0
PGH,CC1C2CC(OO2)C1/C=C/C(O),8,CC(O)/C=C/C1C2CC(OO2)C1,1,C/C=C\C/C=C\C/C=C\,3,2,H,P,1,0,1,1,0,0,0,0
PGI,C/C=C1/CC2C(O1)CC(=O)C2/C=C/C(O),11,,0,CC/C=C\C/C=C\C/C=C\C/C=C\,4,2,I,P,1,0,2,1,1,0,0,0
PGJ,CC1/C=C/C(=O)C1/C=C/C(O),8,CC(O)/C=C/C1/C=C/C(=O)C1,1,C/C=C\C/C=C\C/C=C\,3,1,J,P,1,0,1,1,1,0,0,0
TxA,CC1C2CC(O2)OC1/C=C/C(O),8,CC(O)/C=C/C1C2CC(O2)OC1,1,C/C=C\C/C=C\C/C=C\,3,2,,TxA,1,0,1,1,0,0,0,0
TxB,CC1C(O)CC(O)OC1/C=C/C(O),8,CC(O)/C=C/C1C(O)CC(O)OC1,1,C/C=C\C/C=C\C/C=C\,3,1,,TxB,1,0,1,3,0,0,0,0
LGD,CC(C(=O))C(C(=O)C)/C=C/C(O),8,CC(O)/C=C/C(C(=O))C(C(=O)C),1,C/C=C\C/C=C\C/C=C\,3,0,D,K,1,0,1,1,2,0,0,0
LGE,CC(C(=O)C)C(C(=O))/C=C/C(O),8,CC(O)/C=C/C(C(=O)C)C(C(=O)),1,C/C=C\C/C=C\C/C=C\,3,0,E,K,1,0,1,1,2,0,0,0
